fundRUNSeries,netPatrimony,providedFlow,rescuedFlow
8906-0INVER,4234252922.7260275,7336258.901359758,6578806.096949283
8906-0UNIVE,7963153770.841096,37606079.378093906,33036600.94725135
8907-9A,117021890178.22192,48412289.111134216,89430064.75729203
8907-9APV,1932931750.8164384,968290.6627521293,1121298.9806646565
8907-9F,25674874204.950684,35461840.833713,24427709.899553973
8908-7ALTO,1725050299.860274,10802267.6856604,3689846.3416576074
8908-7APV,13249129312.693151,18696693.823175758,8490570.839211427
8908-7EJECU,9558507131.320547,22628271.731818933,12825724.16184248
8908-7GLOBAL,12880794211.279411,119004084.70228167,25814386.55048324
8910-9ALTO,6996653482.087671,52346669.711563244,13661593.146217143
8910-9APV,1918439765.0684931,7532933.592307252,1602558.2081528706
8910-9EJECU,21741818218.942467,104810851.16968276,28734239.89952462
8910-9GLOBAL,65576410589.91912,547265514.8673712,51192189.9578541
8911-7ALTO,4591325862.846576,20736411.269651823,4608957.619524353
8911-7APV,7424226068.230137,11914402.848232204,7134389.938927512
8911-7EJECU,21613582754.378082,44108922.710531086,22227525.272126686
8911-7GLOBAL,20488268080.933823,186345191.52795112,31924774.084815335
8912-5A,4673215850.063014,11296423.94519412,15762035.048647147
8912-5B,8885338652.558905,5166102.019227371,12198929.905511025
8912-5D,14764427052.523287,79229014.62997527,152279148.07715562
8912-5F,5404804979.6,6185482.284819182,15709149.511166742
8912-5G,1282943437.4054794,242666.56400493227,664895.1476590598
8912-5H,743281793.4493151,2519903.810858669,1843528.480732132
8912-5I-APV,3457837816.2821918,2252090.5241156197,5671988.761164015
8912-5S,133113266.6150608,10036.326906712437,3365910.3082469385
8912-5V,735.7642202739725,0.06834778369863012,0.0
8915-KA,2971999238.7534246,13529888.97730095,11132537.33857358
8915-KAC,181892.4712328767,0.0,0.0
8915-KAC-APV,0.0,0.0,0.0
8915-KB,2173458906.808219,4846574.231014897,4625995.155462921
8915-KC,5657953174.394521,8342854.697067372,6019423.296111
8915-KD,2625917685.8273973,7451412.971262926,5296585.713225112
8915-KE,2635276452.5123286,13798865.728099713,8693148.76987608
8915-KF,2785611440.5068493,13387782.83482879,10197425.51140572
8915-KH,431098442.9424658,2767789.9033941035,3145126.299814631
8915-KI,1097933319.580822,2677614.8660504315,617455.9556867433
8915-KM,195136.17260273974,0.0,0.0
8916-8A,307687706.80547947,557538.9205087846,836918.7020533268
8916-8AC,135807.87671232875,0.0,0.0
8916-8AC-APV,0.0,0.0,0.0
8916-8B,288629208.27397263,373682.11149910744,371759.76807161456
8916-8C,795924647.0958904,483913.13353057986,761474.7003219258
8916-8D,328299799.7506849,954139.2610750474,946177.7170726998
8916-8E,261818905.9150685,1520501.0827144133,1160372.7938525248
8916-8F,391980710.2958904,1569959.4524040443,3110855.139145202
8916-8H,35102877.82465754,236958.21378009033,183138.63622797374
8916-8I,25076695.515068494,196053.69846964386,0.0
8916-8M,144717.0,0.0,0.0
8918-4A,1672077595.3534245,7462282.4002354555,2476844.313450662
8918-4B-APV/APVC,406615653.1041096,1313861.624827136,709033.6326466611
8918-4CUI,512327914.1917808,7804164.505636884,473972.6026975151
8918-4D,485890129.030137,2385871.754403526,1241923.0711997938
8918-4Z,111836649.13150685,16307.903979338438,545859.3436589568
8924-9APV,4629615848.928767,10458098.01512361,8486430.169635208
8924-9CLASICA,6841313699.663013,11072572.253683629,6996421.2265073545
8924-9D,2058858919.9013698,5205110.021171926,3209477.3353367504
8924-9E,0.0,0.0,0.0
8924-9G,741077667.5315069,2447528.322206808,1417193.0717886859
8924-9INSTITUCIO,2924816055.39726,7544326.39441751,6922559.701800008
8924-9LARGOPLAZO,1037065405.1315068,1466476.1319238048,594690.7667785868
8924-9LIQUIDEZ,15604348596.290411,50542263.03137106,43765519.545024596
8924-9PATRIMONIA,1050160699.1890411,4723270.783526459,761643.8354954156
8929-KB,1149226805.4575343,612729.62120321,4098509.793000353
8929-KI,149717310.23561645,13457.584866054764,2897773.7105224924
8931-1A,145833416106.02747,13884839709.558098,13948765178.305246
8931-1IT,112695076268.81044,68120656983.364914,67901682313.68579
8931-1P,137519121958.28845,40801166114.06537,40897327481.12385
8932-KA,59450336915.6,619602777.171436,319817639.3674427
