field1,fundRUN,fundName,fundSeries,bloombergCode,APV,aafmCategory,svsCategory,svsCategoryId,currency,fixedRemuneration,variableRemuneration,investmentCommission,rescuedCommission,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021
0,9291-6,AHORRO CORTO PLAZO,A,BANCRPA,NO,Fondos de Deuda < 365 Dias Nacional en UF,FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 365 DIAS,2,P,300671,0,0,0,,,,,,,,,,,,,,1005.34,1008.4058,1010.4438,1015.9385,1018.7723,1021.6037,1026.4701,1029.274,1028.3616,1026.2506,1034.3087,1037.7627,1044.0376,1046.4577,1050.4553,1052.0098,1053.9708,1053.474,1057.1387,1056.3546,1053.5119,1058.0003,1062.8242,1066.5593,1071.5666,1072.8593,1073.4732,1079.1897,1082.4307,1085.7001,1088.1626,1090.3561,1088.6554,1090.9097,1092.257,1096.4264,1098.2085,1102.0701,1107.8965,1113.6728,1118.888,1124.6487,1129.065,1132.6297,1125.9003,1124.976,1134.3626,1139.9943,1138.7286,1139.4015,1146.9132,1155.2992,1151.0228,1150.6531,1158.9956,1157.3176,1165.1017,1173.6956,1172.1031,1177.7718
214,8240-6,AHORRO ESTRATEGICO,A,LARVEST CI,NO,Fondos de Deuda > 365 Dias Orig. Flex,FM DE INV.EN INST.DE DEUDA DE MEDIANO Y LARGO PLAZO,3,P,1794301,0,0,0,1908.0545,1928.5867,1940.0782,1923.9544,1933.1488,1943.0813,1966.2445,1979.2006,1980.2211,1975.9436,1971.4776,1962.6108,1982.4617,2002.1433,2012.2265,2019.5516,2033.2594,2044.5877,2060.4764,2091.7857,2117.2756,2105.7741,2061.048,2103.6659,2119.3076,2138.237,2144.3585,2157.5934,2154.7984,2154.1382,2150.3981,2155.2504,2145.1944,2133.5917,2134.2079,2149.7634,2161.3243,2173.4867,2179.5798,2181.6631,2195.459,2202.5001,2213.67,2220.7615,2221.5957,2211.9775,2217.641,2225.7541,2242.4857,2247.737,2277.6923,2295.5459,2331.1991,2365.1293,2408.5513,2439.243,2440.3733,2372.9683,2276.5725,2326.9636,2349.9843,2301.8066,2231.7228,2302.548,2326.961,2319.8679,2321.7474,2373.8797,2333.2355,2357.6713,2384.8825,2407.61,2452.4314
237544,9064-6,AHORRO LARGO NOMINAL,A,LVALNSA CI,NO,"Fondos de Deuda > 365 Dias Nacional, Inversión en Pesos",FM DE INV.EN INST.DE DEUDA DE MEDIANO Y LARGO PLAZO,3,P,229096,0,0,0,1041.9843,1042.4335,1042.311,1042.8834,1046.1458,1051.5171,1057.1918,1059.8198,1057.6648,1056.3228,1043.5763,1038.3496,1043.3516,1049.6114,1068.2363,1073.25,1076.023,1078.2554,1080.8875,1087.8405,1091.4672,1093.8986,1086.9393,1098.1784,1105.438,1108.5988,1111.7318,1120.4099,1120.7351,1124.8592,1129.57,1127.8773,1127.2296,1127.835,1126.6598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,9929-5,AHORRO LARGO PLAZO,A,,NO,S/C Fondos creados recientemente que aún no han sido clasificados,FM DE INV.EN INST.DE DEUDA DE MEDIANO Y LARGO PLAZO,3,P,6484,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999.535,988.816,1007.1422,1017.0214
224493,9148-0,AHORRO MED Y LAR,A,BEPLAZA CI,NO,S/C Fondos creados recientemente que aún no han sido clasificados,FM DE LIBRE INVERSION,6,P,327,0,0,0,,,,,,,1008.916,1016.0412,1016.0482,1014.4744,1016.1546,1014.9308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238798,8135-3,ALIANZA,A,BCHALNZ CI,NO,"Fondos de Deuda > 365 Dias Nacional, Inversión en Pesos",FM DE INV.EN INST.DE DEUDA DE MEDIANO Y LARGO PLAZO,3,P,1123866,0,0,0,2425.4069,2424.8505,2421.9096,2434.1241,2432.3045,2442.9069,2446.2375,2439.0303,2434.273,2403.3155,2403.3872,2394.3894,2402.7177,2418.6651,2458.4549,2477.0782,2481.8598,2490.9417,2500.8892,2519.9128,2529.7671,2535.519,2516.9475,2546.1208,2565.9848,2574.2751,2584.0447,2603.6192,2607.0227,2615.855,2626.6863,2626.3669,2625.8869,2626.2112,2627.1135,2633.595,2649.6947,2654.8606,2661.7251,2671.9724,2673.3719,2677.0864,2682.5246,2689.3995,2686.983,2683.8073,2695.1278,2708.7744,2716.8922,2725.7827,2745.7072,2758.1049,2783.5785,2826.8092,2862.4202,2877.6418,2882.9321,2848.8751,2811.1833,2831.1427,2833.3584,,,,,,,,,,,,
115,8859-5,ALIANZA PACIFICO,A,SEACANA CI,NO,Accionario Países MILA,FM DE LIBRE INVERSION,6,P,13273,0,0,0,760.3564,769.9677,746.6483,758.4458,742.5636,747.2175,753.4306,720.1173,714.9709,744.456,717.9316,704.6918,686.166,685.4911,727.6185,734.3759,723.5239,715.2269,710.5199,729.4284,692.7234,707.5556,662.1074,662.8137,650.2499,655.686,713.5879,713.1797,725.9562,742.3998,762.2617,758.0936,773.2617,754.6944,746.2954,734.9353,776.5214,728.3776,734.9259,762.7384,722.4948,754.3197,788.4403,797.541,782.3865,712.0566,675.2294,699.5666,728.9332,717.3505,734.3981,753.1699,731.4486,731.0663,723.2889,719.2422,749.3019,771.1789,812.3009,795.8113,843.3166,782.3927,581.7843,600.2827,609.4252,640.0166,605.1735,615.5208,606.618,589.7097,701.9399,699.9315,694.8367
237518,8917-6,ANDES,A,LVANDEA CI,NO,Accionario Países MILA,FM DE LIBRE INVERSION,6,D,515.7849,0,0,0,0.7138,0.7414,0.7205,0.7324,0.7246,0.704,0.6937,0.6485,0.643,0.6877,0.6638,0.6394,0.6144,0.6307,0.6725,0.6788,0.6436,0.6583,0.6612,0.6561,0.6423,0.6615,0.5993,0.5981,0.6053,0.6119,0.6672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237297,8979-6,ANDINO RETORNO TOTAL,A,BOSTDOL CI,NO,Accionario Países MILA,FM DE LIBRE INVERSION,6,P,938857,0,0,8866,1168.3934,1204.0168,1175.8918,1188.0526,1171.9795,1184.7336,1192.6112,1140.3274,1112.3151,1181.3397,1170.6665,1118.2946,1084.7273,1088.5176,1152.4907,1145.3366,1141.7721,1099.9711,1108.6866,1161.3173,1091.3391,1123.4621,1032.2728,1037.3647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,8131-0,ASIA,A,BWDASIA CI,NO,Accionario Asia Pacifico,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,338199,0,0,0,841.198,863.6219,872.0947,874.5565,881.4622,883.8097,907.057,861.3141,810.8737,875.7302,897.8402,891.436,821.3835,771.1228,796.5687,789.7036,833.5004,768.9766,809.0248,846.7056,835.8398,830.0091,858.5334,854.1681,861.7264,881.788,906.4938,913.5281,941.2537,951.7148,964.1557,933.3258,956.0523,995.2444,1021.1994,987.7742,1011.5442,969.6469,956.8315,979.6106,1000.7758,1007.9755,995.6402,1042.9812,1029.2833,983.5754,957.0757,918.7007,931.0663,936.8579,977.5542,985.9073,975.9301,972.5812,1000.1318,988.7569,1038.4426,1086.7061,1211.7013,1138.899,1176.1203,0.8424,0.7389,0.7992,0.7967,0.876,0.9589,1.0056,0.9788,1.0116,1.0786,1.1581,1.2249
