fundName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28
SANTANDER PRIVATE BANKING AGRESIVO,85316.245,79103.2733,88386.55250000002,85785.43379999997,88963.74079999999,87024.90450000002,90335.77649999998,91583.48219999997,85496.19819999998,89705.4593,89324.87780000002,90437.96549999996,87550.35150000002,79957.00949999999,87865.95809999997,86048.44579999997,89765.68580000002,86897.2856,89841.55180000002,91851.96300000002,89568.56150000003,92228.3917,88996.75360000001,93029.0294,93904.20939999999,85062.54880000002,98061.79550000007,95814.75559999997,102614.6992,99668.56670000002,103502.00349999999,103075.99499999995,99385.06970000001,105518.54070000004,102583.04810000001,107126.08390000001,109478.32279999998,95993.7943,106082.40349999999,102215.27089999997,108890.70249999998,105797.37200000002,110341.06720000002,111150.45479999998,110180.24659999997,110137.86900000004,104763.02100000005,105590.44409999998,106735.69499999999,97774.48479999999,110009.9388,108353.49470000001,111758.98889999998,109136.03819999997,114684.7883,122558.72909999995,143535.1116,149328.7214,152199.44129999998,158953.45679999999,163848.9097,153727.45909999995,136587.24849999996,140792.93899999995,148699.75090000004,149817.07979999995,157977.24220000004,175802.35069999998,181844.31410000005,191919.78690000006,189651.4893,198025.56159999993,203717.9767,87613.00779999999
SANTANDER PRIVATE BANKING CONSERVADOR,70625.05990000001,63965.779499999975,71030.88970000004,68925.60130000001,71349.26969999999,69283.54349999999,71964.35380000001,72328.4288,70123.19099999999,72631.93790000002,70347.0036,72848.51649999998,73151.6826,68758.14799999999,73774.08670000001,71650.93750000001,74254.77280000004,72052.54160000001,74656.40329999999,74881.47749999996,72639.4509,75247.2497,72988.28800000002,75610.84050000002,75882.06910000001,68746.4562,76294.80929999998,74048.2828,76655.0218,74321.3123,76894.76139999999,77015.34790000004,74653.67469999999,77175.35729999999,74826.8545,77472.28659999999,77654.72740000002,70300.95459999998,77971.04639999999,75597.3084,78257.21580000002,75873.43210000002,78553.72769999999,78702.3086,76288.35719999998,78955.1624,76552.25989999999,79286.90770000001,79517.0536,71969.3351,79853.89100000002,77466.76410000003,80274.95829999998,78289.93899999998,81448.95599999999,85098.41750000003,110039.74109999998,113744.95839999994,110143.52799999999,115384.46289999995,117069.882,109570.78300000004,110544.52800000003,112761.1658,119381.47899999998,116560.31740000001,121155.49620000004,136724.6153,149235.6677,154991.5883,151435.253,157364.75650000002,158498.863,67251.86309999999
SANTANDER PRIVATE BANKING MODERADO,78038.03070000002,71558.30569999998,79759.89930000003,77407.02530000001,79990.69260000002,77706.01139999999,80532.3436,81296.82490000002,77421.9819,80674.48639999997,79026.2527,80884.4215,79901.58510000004,74201.5955,80567.03380000003,78603.58380000001,81709.02679999996,79305.90089999998,82296.41910000003,83412.25570000002,81091.89090000001,83873.55450000001,80736.56930000002,83894.83380000002,84580.26819999998,76659.59879999999,86706.56999999999,84611.921,88912.71479999999,86305.03020000004,89393.82800000001,89461.61020000002,86431.54790000002,90339.73310000003,87732.81919999995,91038.9089,92070.28549999998,82081.3341,90783.36760000003,87797.92410000003,91896.90629999999,89160.4017,92591.82439999998,93162.0752,91166.52189999998,92839.60100000002,89180.36600000001,91216.84610000002,91965.2023,83783.81749999999,93551.6246,91518.50020000002,94646.851,92604.59250000003,96804.78790000002,107245.16870000002,125698.50670000001,130379.51090000004,128095.7104,133719.0367,136337.15510000003,127843.0338,122636.34939999999,125598.24389999999,132060.21709999998,130524.9595,136586.61649999995,152515.66050000006,162176.20390000008,169453.9042,166266.81390000007,173079.46819999997,175756.95240000004,74882.65479999999
SANTANDER RENTA CORTO PLAZO,154271.60879999993,139623.1397,154890.64970000004,150200.15690000003,155529.55469999986,150834.48550000004,156199.7693,156549.46890000004,151836.09249999994,157256.67219999994,152539.61560000005,158010.61740000002,158420.7073,148595.89070000013,159291.74959999992,154564.0085,160126.78770000004,155352.01659999997,160925.82899999997,161318.72610000003,156487.15550000002,162084.8236,160226.06740000006,193878.73769999997,194278.5152,175806.4434999999,194989.4659000001,189028.52760000003,195678.76450000002,189706.11109999998,196337.62409999987,196630.8257000001,190562.88659999997,197235.74940000006,191203.62609999996,197878.2582,198186.24750000006,179277.7739,198786.62429999988,192686.73210000008,199395.96420000016,193213.03170000017,200059.52750000003,200464.81469999996,194328.5244999999,201132.3821,194905.25129999986,201690.74169999987,202024.89399999994,182759.74299999987,202651.09089999984,196427.9815999999,203297.49479999993,197029.46819999983,203866.44829999979,204121.78029999998,197793.6055999999,204588.3150999999,198173.84609999985,204963.41699999987,205143.09399999987,192063.7858999999,198842.35709999994,199308.28720000005,206044.17989999987,199464.86329999985,206137.50969999985,206160.312,199528.96949999992,206196.19379999998,199561.7725999999,206232.58849999998,206248.36109999998,86495.4478
SANTANDER RENTA LARGO PLAZO PESOS,403488.7643000001,365808.32219999994,406038.8572000001,393133.61779999995,406624.6777000001,395134.9974,410346.95780000003,418274.02989999996,428299.74019999994,443632.9708000001,428950.9867999999,443410.301,444529.5238000002,418783.7154999999,450108.3876,454872.3980000002,485171.7872999999,471095.6564999999,488801.0106000002,491011.5689999999,477024.4807000001,494351.74449999986,480486.30909999984,526694.1836999996,530865.2792000002,481640.25869999983,534363.9346000002,520793.3027,538990.6329000003,522728.8124000003,540367.2041999998,541659.9188,524428.9291999998,539416.186,523864.3749000001,541123.8824999998,544379.9666000002,493563.2694000002,547685.8021,531640.2707000003,550422.5889000002,534006.4724999999,552966.9056999995,554661.2270999998,557263.9238999998,585380.7222000001,567543.4793,588610.6214000002,590783.4227,535381.4761999999,594865.6467,579183.9449,601281.5080999996,589466.3056999997,613630.6989999997,620174.4472999997,602543.3041000003,622128.8215,592694.0925999997,613901.4540999996,620776.3655,580783.0331000001,597962.2529999997,605819.4697000001,637966.0962000004,619864.7091999997,642830.4495999998,646545.4847999995,628831.9504999995,650022.2436999999,632594.9503000001,655196.1218999996,658073.6845000007,277820.9992000001
SANTANDER RENTA LARGO PLAZO UF,436185.0307000002,397741.9065,443282.2536,429272.03540000017,443849.25920000003,431944.4944000001,449695.40719999984,459185.2725000001,468634.52720000007,485526.3286,468914.3116,484826.4026,486685.69039999973,459894.41959999996,527656.6082000001,539620.9648000001,560335.7798000001,545027.7053,565534.3476999997,568086.9586,552525.2332,571705.0040000001,552859.7776,603733.2967,610620.2447999995,555174.8938000001,616431.9448000002,600239.8600999998,620608.584,601328.012,619471.8453999996,621080.0167,601201.8985999998,615396.6276000001,598740.7935000001,619227.6010000003,623523.4171999997,566543.5122999997,628834.0626999994,609480.9702000002,631760.5271999998,614538.9904,636595.6350999998,639149.4586999998,639233.4495000002,669630.2711999998,648271.2080999998,670689.1073000003,672943.5336999999,609718.0961000001,676990.2950000002,660535.3030999993,686448.9979999999,672710.0775000001,699137.4584999998,709114.8035999998,689534.6374000002,711200.7217000003,681208.2123000004,731956.2847000003,743638.2933999998,695381.4185999997,710420.8673999998,715316.5364000002,752754.3649000003,729765.7013000003,756646.7955000001,764160.276300001,744938.2021000001,769901.1925000004,753726.3298000005,782360.4266000001,787388.7491999996,334266.72459999984
SANTANDER RENTA MEDIANO PLAZO,217681.93859999994,197411.6403000001,219356.11069999996,212626.702,220134.68090000012,213952.9342000001,222079.41630000007,223281.85599999994,216533.74620000002,224164.89260000008,216938.3962,224617.35430000004,225392.16989999998,212040.3168,227566.18940000003,221000.6138,229209.8898000001,222616.6097,230617.72810000004,231367.07559999995,224506.50119999997,232363.93860000008,227858.26249999995,264219.3315999999,265694.59420000017,241022.6947,267596.7235000001,259915.55290000004,269025.3983,260768.4006,269477.72909999994,269922.79530000006,261522.3616,269493.6456000002,261529.4314,270806.96729999996,271798.4576999999,246244.21529999992,273136.83590000006,264776.7242,274170.89850000007,265995.5609999999,275349.35,275917.25009999995,287358.0688,307320.2002999999,297805.2728999998,308299.9708,309140.83439999993,279816.6554,310462.3962,301554.7465999999,312552.7877,304048.5861999998,315070.0927,316535.9557,307214.4203000001,317625.9955999999,305751.26769999997,317108.9031999999,318700.08219999995,298502.07129999995,308704.5554999999,310631.3515,322544.21590000007,312478.68519999995,323139.86609999987,323903.8463000001,314362.36890000035,325149.3757999999,316016.5058999999,326911.4642999999,327140.76470000006,137681.43740000002
SANTANDER SELECT EQUILIBRIO,68624.46710000001,62788.22039999999,69896.9332,68032.48639999998,70371.56649999999,68304.45710000001,70786.84699999998,71148.406,67800.28220000003,70670.4646,68974.8991,70563.91019999998,69703.72800000002,64925.345,70388.66730000002,68569.70610000001,70993.46339999998,68955.11959999999,71727.9439,72707.05780000001,70679.4637,73062.91040000001,69984.3648,72720.7055,73446.16790000001,66683.22490000002,75312.7215,73383.4249,77091.73770000003,74779.46189999997,102583.03860000006,108653.95390000002,104952.98119999998,109320.98379999999,106249.42820000001,110192.86780000002,111608.22490000002,99483.33539999998,110226.89129999999,106498.84820000005,111439.17740000002,108003.75220000002,112017.4509,112596.22519999996,110050.56389999996,111887.83000000005,107616.63140000003,110288.54100000003,111067.87260000002,101017.61959999995,112813.4471,110458.06629999999,114097.75950000001,111720.32650000002,116860.23959999999,117266.9732,114954.16100000002,119107.0789,117260.75869999995,122501.68630000003,124767.36360000001,116705.03009999999,112909.54199999996,115236.87949999997,121051.95309999998,118902.75579999991,124007.37569999993,88753.07699999996,0.0,0.0,0.0,0.0,0.0,0.0
SANTANDER SELECT PRUDENTE,68026.07039999998,61938.382600000026,69131.22959999999,66968.11480000001,69331.1974,67547.8979,70190.97380000002,70670.7407,67941.57809999997,70549.26189999998,68630.21089999998,70870.1835,70667.4207,73035.41889999999,102039.52929999998,99159.78860000004,102958.18430000005,99997.04679999995,103582.5027,104188.94879999998,101233.16110000001,104707.50969999998,100939.10400000002,105028.6097,105829.7776,95952.74490000002,107010.7406,103943.84269999998,108268.42970000002,105035.62790000002,108495.41320000004,108511.33910000004,104994.439,108503.20029999998,105610.5424,109465.47739999999,109867.9696,98923.53219999997,109720.21709999998,106273.49939999994,110521.32280000001,107535.37419999999,111659.9103,112224.89360000001,109217.91480000001,112193.66779999995,108380.14779999998,111715.09630000003,112109.04230000007,101787.14270000003,113414.67899999999,110654.42939999996,114936.17730000001,112244.69000000002,116879.23419999999,117857.38230000001,114638.46530000003,118403.45899999999,114744.06649999997,119964.8424,121721.98460000004,114143.56569999996,115442.38289999997,117264.98769999997,123757.97260000005,120531.8314,125127.63659999995,89573.4717,0.0,0.0,0.0,0.0,0.0,0.0
SANTANDER TESORERIA,127286.6816,115215.84279999998,127833.37110000002,123989.86049999998,128423.38889999998,124579.1669,129038.77560000001,129350.2684,125479.50900000005,129978.87879999995,126103.08289999995,130643.82589999998,131010.68000000002,122902.5973,131732.49019999997,127819.79589999995,132429.13920000003,128492.33699999998,133117.812,133462.38579999996,129484.03300000005,134140.7696,130146.68890000002,134834.18410000007,135193.06829999998,122388.93850000003,135797.25280000002,131699.74100000004,136352.30969999998,132186.89310000002,136823.6876,137050.5501,132847.23549999998,137501.02260000008,133284.18339999995,137956.51669999995,138202.6295,125039.14280000005,138657.138,134402.52250000002,139108.16099999996,134839.017,139561.67769999997,139786.2377,135488.89560000005,140227.88450000001,135929.55049999995,140706.4728,140970.44580000004,127566.33180000001,141501.9243,137204.27199999997,142058.779,137741.07469999997,142580.9936,142803.85020000002,138395.15079999997,143185.1321999999,138729.7236,143521.90999999997,143663.15529999993,134520.97740000003,139298.21330000006,139398.4528,144086.61840000004,139462.89160000003,144131.05200000005,144150.62360000005,139518.39220000006,144182.92429999993,139544.84670000002,144210.08909999995,144225.49369999996,60486.0512
SB EUROPA CHINA,37737.36620000001,35690.594099999995,40231.4214,40284.89109999999,42007.66029999999,41150.1643,37676.59199999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SB LATAM ASIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27886.322700000004,29381.224699999995,30169.7569,32839.397300000004,29200.7183,32465.0731,31288.531099999997,31119.716300000004,27645.897999999994,29256.917699999998,29103.7511,27564.041699999998,28521.5949,27505.338900000002,28221.829199999996,29425.5579,27344.8666,30246.2487,29822.279899999994,30049.7781,6841.3067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCOTIA ACTIVO,85917.078,79265.42300000001,110806.61389999998,115912.5082,118599.72899999995,116437.42529999999,121242.9417,122863.81340000001,113555.79670000002,119668.28110000001,118661.40899999997,119945.68849999996,115283.28299999997,104006.88739999999,112680.39529999993,109491.25579999998,114373.40800000002,110536.10419999997,113137.10589999997,114224.1174,111285.13220000001,114882.20649999999,110561.4176,117012.4136,117978.38870000002,107123.59500000002,122122.68990000003,117227.64419999998,124671.76259999997,119481.90759999999,124067.44419999997,123973.20400000001,119466.93160000001,125903.60549999996,122444.72019999998,126915.23569999998,130647.63540000001,114271.66420000003,126448.77650000004,121754.93930000006,128686.21560000001,123743.29669999999,128016.8583,127878.61959999996,124203.9941,123347.04890000004,117570.71949999996,118883.0941,120125.18359999997,109749.30320000005,123134.4796,121184.62689999997,123705.96339999998,120592.19929999996,126588.71280000002,123907.05120000003,123619.28440000003,128213.99750000003,129934.60240000003,135348.7378,138615.7026,128525.13389999999,113528.64119999998,114669.24139999998,119640.02570000003,119694.69600000001,125296.2719,128027.15319999999,121041.94599999998,128016.05979999996,126005.51520000007,131790.11060000007,134792.9204,57749.67529999999
