,fundRUN,fundName,fundSeries,bloombergCode,APV,aafmCategory,svsCategory,svsCategoryId,currency,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31
236,8661-4,FIXED INCOME BRL,A,SFIBRLA CI,NO,Inversionistas Calificados T�tulos de Deuda,FM DIRIGIDO A INVERSIONISTAS CALIFICADOS,8.0,D,,-0.07384044269244394,-0.10258835862863902,0.09689984006462793,-0.030859829171345554,0.020840494751178884,-0.10016357868797643,-0.08752379283780254,-0.10813740461749566,0.054971877563986915,-0.001904662871205609,-0.01022475890162633,0.00900279377387525,0.03070203082069556,0.1812628888804546,0.07332118073034155,-0.04849951204455005,0.15382162977712466,0.007278900187721371,0.004728903187422695,0.016155632452925506,0.019579306665283847,-0.070409858044711,0.0686008318586766,0.05523744477259074,0.047709751116952415,0.002061141768351149,-0.024528703159132803,-0.02936381408471489,-0.014393839815913134,0.09912385839931126,-0.005099925048534182,0.013426113536106676,-0.06396309320610627,-0.016109415897039514,-0.0029182978599057163,0.07638342644788843,-0.014334187827820255,-0.013385852421016087,-0.05387550716870637,-0.0976019528765788,-0.041400042321652064,0.054201183966652966,-0.0918624845515692,0.018161818716894373,0.15251898888825988,-0.026612084258002433,0.010953154333140702,0.10790838698075444,-0.02488559550808711,-0.03499931363297848,0.00596506870105884,0.03554255536509321,0.059622430519527425,0.031914969182467834,-0.09256738053129543,0.018742515943411142,0.061126295819391885,-0.07958836344571563,0.07383372850730963,-0.060857156114811906,-0.04492278200766786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,9748-9,FM ACCIONES BRASIL,A,,NO,S/C Fondos creados recientemente que a�n no han sido clasificados,FM DE LIBRE INVERSION,6.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.09382192980669346,0.0182412839705981,0.07087431151141876,-0.05769032550660713,0.11688780477133265,-0.07823165894600759,-0.12409821608814364,-0.3819915331335897,0.04602732197534731,0.10127033569136668,0.06980746294087581,0.11871884307261049,-0.08386839595108275,-0.0774358974358974,-0.023026260380346053,0.22993103448275876,0.13521924414040587,-0.0888839495196464
238,9231-2,FM BCI NEG DOLAR,A,BCINDLA CI,NO,Inversionistas Calificados T�tulos de Deuda,FM DE INV.EN INST.DE DEUDA DE MEDIANO Y LARGO PLAZO,3.0,D,,,,,,,,,,,,,,,,,,,0.010775298287654111,0.003943331403813977,-0.00272154626333454,0.0018508871629727697,-0.03570654807158247,0.010578174116051553,0.01305146612985375,0.014285871043104859,0.005230236629359286,0.009226121174290558,0.008217905863922237,0.0062711236965207195,0.006269307910832689,0.007203576529216882,0.0031715682669697376,0.00251776722259911,0.0032435969427693223,0.0016997188315577283,0.0028759435669536426,-0.018929771672593354,-0.006135231073793546,-0.006528933267318959,-0.016977894456858156,-0.0015717004059656592,0.02669052550426909,-0.00664472405289096,0.002032748450496946,0.0005437748312671076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,9365-3,FM CC DEUDA LATAM IG,A,,SI,"Fondos de Deuda > 365 Dias Internacional, Mercados Emergentes",FM MIXTO,4.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0002907876546457411,0.020483581861484135,-0.005673851265452501,0.0013806329567718212,-0.00828036954527589,-0.007915379567574488,0.011751260342379721,0.026010860187648976,0.010590953095923838,0.01827675940662421,0.009683831688112043,0.006782786700411769,0.023406175472287627,0.009293211601876017,0.015440766327131206,0.0014834452668488485,0.004138015446093712,-0.005307487698670621,0.015552200299789654,0.0182099358050547,0.0021861014416453273,-0.14527610365943688,0.027874021460897458,0.04266336595464848,0.039451144350360234,0.022056721029754867,0.01690189826650501,-0.0016026440278675835,0.010051218189176314,0.02372381122383338,0.017259895992444818,-0.006105848050299789
240,9557-5,FM LV AHORRO ARG,A,,NO,Fondos de Deuda < 365 Dias Internacional,FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 365 DIAS,2.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.005041152263374538,0.020059973115500007,-0.0022301064368982493,-0.15269734836939952,-0.10815347721822532,0.09249798332885173,-0.2605217819345311,-0.04909302712597763,0.18235911795589765,-0.002368265245707435,0.040504451038575695,0.06288321688293164,-0.021330829085054903,-0.08293351610692257,0.021823617339312262,0.03613224107665314,0.09840463080615547,-0.007583547557840631,-0.5896904546043258,-0.018939393939393923,0.15894465894465903,0.16296501943364783,0.2184292193841011,0.1259796238244515,-0.0012180267965895553,-0.12874564459930304,0.3741251749650072,0.03550640279394646,-0.11720067453625638,-0.12400509391913395,0.23677993821551868,-0.044519541580957944,-0.4608642165154544,0.0,0.0,0.0
241,9293-2,FM LV ALTERNATIVO,A,LVPALTA CI,NO,S/C Fondos creados recientemente que a�n no han sido clasificados,FM DE LIBRE INVERSION,6.0,D,,,,,,,,,,,,,,,,-0.012137271893925328,0.002097256731403041,-0.004654302421370771,0.00856414568503494,-0.0057190843819496795,-0.0009500450688403328,-0.004321386091185486,-0.008850504651025326,0.006343127404511373,0.007114542914632649,-0.00030237813298750194,8.424488669067642e-05,0.0036628214991076824,0.007679123079334493,0.003918680112271922,0.005841581585223743,-0.05007463294701753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,9027-1,FM LV EUROPA,A,LVEUDOA CI,NO,Accionario Europa Desarrollado,FM DE LIBRE INVERSION,6.0,D,,0.05540254237288145,-0.01876944695372873,0.024345335515548294,0.010585180746954137,-0.024802371541502,0.007194244604316502,-0.06317907444668003,-0.027491408934708028,0.06912544169611312,-0.021483164635405783,-0.022060375765252327,-0.07728008634646522,-0.013217920224587676,0.050497866287339876,0.010607086436470237,0.005582849486377883,-0.05629580279813451,0.047887986821979034,-0.004940489557601624,0.003159557661927437,-0.03228346456692921,-0.022782750203417357,0.039371951944807915,0.025406271457999452,-0.007366071428571486,0.040589161232291504,0.034792004321988035,0.03591939020570112,-0.01441386956959978,0.03385150337492315,-0.005539618162033633,0.031731821346861366,0.0003856536829929258,-0.0018311488049345126,0.016993337839142475,0.04462166524257105,-0.05289466509133878,-0.013338451204298996,0.020910328729819128,-0.0274364104029724,-0.02311685767460081,0.02767472174872143,-0.016294272611962035,0.001289426701051477,-0.12303120356612196,-0.0007906924206483312,-0.07449694777300486,0.07817271283742522,0.04429591027529156,0.0011933174224345588,0.033156354968035595,-0.04373361300471945,0.039153323097170345,-0.025013192612137303,-0.034098289673089366,0.024767454891852614,0.029527559055118058,0.017314637773528707,0.039469562493474,-0.030035158211953794,-0.06379453189726592,-0.16648230088495586,0.08852023888520244,0.04181906851987316,0.024575775307197123,0.03643632210165615,0.04882080670046296,-0.026373857307975257,-0.05223397366717031,0.12149851969938519,0.050563508985683736,-0.024451531844979058
243,9428-5,FMCODAGRE,A,LVCDAGA,NO,Balanceado Agresivo,FM DE LIBRE INVERSION,6.0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0073353000000000446,-0.01207045955800412,0.022189937602010712,0.018319028228007017,-0.011097559751264141,-0.006193585796933521,0.027945085023993954,-0.0454160015151408,-0.002468028742249384,0.01354166175368654,0.00969619634292651,0.0025018692436487022,0.005611391570920832,0.0363653535887134,-0.014641674434739071,-0.024299912341703367,-0.021411606834040753,-0.03174983996342484,0.02616535624039651,0.003021497168212317,0.021787663473791907,0.01246723434828767,-0.016076568709041505,0.0068753252587221425,0.0215021532918791,-0.0023294999463137067,0.02636054723292358,0.009412495881029326,0.06388784796710056,-0.033213750048908586,0.03905708910386907,-0.04456557349025203,-0.1280964707557779,0.06922689848695018,-0.016795781138750132,0.05150437373454442,-0.020792810311181076,0.051096877565021126,-0.01548787245724148,-0.015465670400746867,0.08391956731023797,-0.01305723960687033,0.037952730080158315
244,9429-3,FMCODBAL,A,LVCDBAA,NO,Balanceado Moderado,FM DE LIBRE INVERSION,6.0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0033788999999999625,-0.005184183163508882,0.010332333778010572,0.008311231823952436,-0.008716136978824673,0.0010881844046477518,0.015729662546915435,-0.024392302243040898,0.00017390391283811368,0.006705884729051981,0.00187076970016542,0.00169230602991699,0.004618046036959811,0.01865610734071299,-0.007884118943954022,-0.011483761392914293,-0.013011877494528257,-0.01539697319676625,0.018750542864587993,0.0009656454331246067,0.012303559580210566,0.008742135508605031,-0.003871102027500073,0.008846982939932024,0.016605115958586047,0.0034340399267351884,0.013069673111311353,-0.00639024490481066,0.026404342546885395,-0.014546483646016295,0.026062622443667527,-0.027288296506908227,-0.0839946336408457,0.04430498671721472,-0.002127275705355536,0.027736175643009675,-0.006979735120959174,0.03283541559762426,-0.013283146133851953,-0.0018167625126197517,0.04659346808314013,-0.004667867214167343,0.02419707278830141
245,9430-3,FMCODCON,A,LVCDCOA,NO,Balanceado Conservador,FM DE LIBRE INVERSION,6.0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0003486000000000322,0.0004615609001297205,-0.0024924188551531667,-0.002215272126132928,-0.001425944944701829,0.003365021423238801,0.004973652296544007,-0.0022771718411698227,0.0011512844576597736,0.001014917823718875,0.0052512475542090264,0.0034981610881243963,0.0032945658605545436,0.00629666710539345,-0.0014210062025000747,-0.0035115559241107874,-0.0018353660595810117,0.0006801200562325249,0.008155992260476808,0.0010919524046419937,0.011424474934366824,0.008026600250374383,0.013295956159000033,0.011720231239447543,0.017744297360230643,0.011084820406720208,0.002313706406194438,-0.02278178022917865,-0.015560035756727486,0.009883421099323275,0.011460335004020106,-0.01651127161546595,-0.035140902783519556,0.03291687592526782,0.01181940233912293,0.0026631694458876254,-0.001017117710930715,0.01690180872101643,-0.011555589386261,0.004457563670675846,0.009179015390623269,0.0028419480976236144,0.01617978438459655
246,9431-5,FMCODCREC,A,LVCDCRA,NO,Balanceado Agresivo,FM DE LIBRE INVERSION,6.0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007775599999999994,-0.00976546762989694,0.016486157103344112,0.010419107592442911,-0.01169055860289725,0.002551400678991511,0.022516499558124403,-0.034832486104186766,-0.0014173062421141136,0.01134585004150046,0.005831919399969188,0.001750236128158278,0.005351155942832531,0.02689727586399937,-0.011216161849473827,-0.018062440903829025,-0.016789384040689748,-0.025388429429752946,0.025052357442596707,0.0022779374478416603,0.013982532912497403,0.011562408746964792,-0.012573795404807186,0.00767629043880147,0.018885503713059748,0.00043915446140241343,0.020220030979463344,-6.24422561256166e-05,0.040951851673622475,-0.024586331195687205,0.03279158776500424,-0.03669585364869432,-0.11138886165137662,0.057460751932522314,-0.008872048613457029,0.042719411585348865,-0.016217873703004426,0.0410363707215502,-0.013900041327570167,-0.010340602196014737,0.06639015203562249,-0.010830021051161265,0.03429204821545584
